timestamp,open,high,low,close,volume,FGI,catigorization 
22/10/2022,19164.37,19257,19112.72,19204.35,110403.9084,20,Extreme Fear
23/10/2022,19204.29,19695,19070.11,19570.4,167057.2018,23,Extreme Fear
24/10/2022,19570.4,19601.15,19157,19329.72,256168.1447,22,Extreme Fear
25/10/2022,19330.6,20415.87,19237,20080.07,326370.6706,20,Extreme Fear
26/10/2022,20079.02,21020,20050.41,20771.59,380492.6958,33,Fear
27/10/2022,20771.61,20872.21,20200,20295.11,328643.5779,32,Fear
28/10/2022,20295.11,20750,20000.09,20591.84,287039.9457,30,Fear
29/10/2022,20591.84,21085,20554.01,20809.67,254881.7776,34,Fear
30/10/2022,20809.68,20931.21,20515,20627.48,192795.6089,34,Fear
31/10/2022,20627.48,20845.92,20237.95,20490.74,303567.6163,31,Fear
01/11/2022,20490.74,20700,20330.74,20483.62,279932.4377,30,Fear
02/11/2022,20482.81,20800,20048.04,20151.84,373716.273,30,Fear
03/11/2022,20151.84,20393.32,20031.24,20207.82,319185.1544,30,Fear
04/11/2022,20207.12,21302.05,20180.96,21148.52,453694.3917,30,Fear
05/11/2022,21148.52,21480.65,21080.65,21299.37,245621.9853,38,Fear
06/11/2022,21299.37,21365.27,20886.13,20905.58,230036.9722,40,Fear
07/11/2022,20905.58,21069.77,20384.89,20591.13,386977.6034,33,Fear
08/11/2022,20590.67,20700.88,17166.83,18547.23,760705.3628,31,Fear
09/11/2022,18545.38,18587.76,15588,15922.81,731926.9297,29,Fear
10/11/2022,15922.68,18199,15754.26,17601.15,608448.3643,22,Extreme Fear
11/11/2022,17602.45,17695,16361.6,17070.31,393552.8649,25,Extreme Fear
12/11/2022,17069.98,17119.1,16631.39,16812.08,167819.9604,21,Extreme Fear
13/11/2022,16813.16,16954.28,16229,16329.85,184960.7885,22,Extreme Fear
14/11/2022,16331.78,17190,15815.21,16619.46,380210.7775,24,Extreme Fear
15/11/2022,16617.72,17134.69,16527.72,16900.57,282461.8439,22,Extreme Fear
16/11/2022,16900.57,17015.92,16378.61,16662.76,261493.4081,23,Extreme Fear
17/11/2022,16661.61,16751,16410.74,16692.56,228038.9787,20,Extreme Fear
18/11/2022,16692.56,17011,16546.04,16700.45,214224.1818,23,Extreme Fear
19/11/2022,16699.43,16822.41,16553.53,16700.68,104963.1556,23,Extreme Fear
20/11/2022,16700.68,16753.33,16180,16280.23,154842.1348,24,Extreme Fear
21/11/2022,16279.5,16319,15476,15781.29,324096.9978,21,Extreme Fear
22/11/2022,15781.29,16315,15616.63,16226.94,239548.0662,22,Extreme Fear
23/11/2022,16227.96,16706,16160.2,16603.11,264927.7041,22,Extreme Fear
24/11/2022,16603.11,16812.63,16458.05,16598.95,206565.9235,20,Extreme Fear
25/11/2022,16599.55,16666,16342.81,16522.14,182089.4953,20,Extreme Fear
26/11/2022,16521.35,16701.99,16385,16458.57,181804.8167,22,Extreme Fear
27/11/2022,16457.61,16600,16401,16428.78,162025.4761,26,Fear
28/11/2022,16428.77,16487.04,15995.27,16212.91,252695.4037,28,Fear
29/11/2022,16212.18,16548.71,16100,16442.53,248106.2501,26,Fear
30/11/2022,16442.91,17249,16428.3,17163.64,303019.8072,29,Fear
01/12/2022,17165.53,17324,16855.01,16977.37,232818.1822,27,Fear
02/12/2022,16978,17105.73,16787.85,17092.74,202372.2062,27,Fear
03/12/2022,17092.13,17188.98,16858.74,16885.2,154542.5731,27,Fear
04/12/2022,16885.2,17202.84,16878.25,17105.7,178619.1339,26,Fear
05/12/2022,17106.65,17424.25,16867,16966.35,233703.2923,26,Fear
06/12/2022,16966.35,17107.01,16906.37,17088.96,218730.7688,25,Extreme Fear
07/12/2022,17088.96,17142.21,16678.83,16836.64,220657.4133,29,Fear
08/12/2022,16836.64,17299,16733.49,17224.1,236417.978,25,Extreme Fear
09/12/2022,17224.1,17360,17058.21,17128.56,238422.0647,26,Fear
10/12/2022,17128.56,17227.72,17092,17127.49,140573.9794,27,Fear
11/12/2022,17127.49,17270.99,17071,17085.05,155286.4787,26,Fear
12/12/2022,17085.05,17241.89,16871.85,17209.83,226227.4969,27,Fear
